,IDfg,Name,Age,G,IP,WAR,name_last,name_first,key_bbref,mlb_played_first,2023,shortName,2024,S2,2024Est,Selectable,Position_Starter,Position_Reliever
273,21367,Peter Strzelecki,26,30,35.0,0.4,strzelecki,peter,strzepe01,2022.0,726400.0,Milwaukee,,False,0.0,False,False,True
274,21741,Javier Assad,23,9,37.2,0.4,assad,javier,assadja01,2022.0,721500.0,Chi Cubs,,False,0.0,False,False,True
275,19753,Jonathan Loaisiga,26,50,48.0,0.4,loáisiga,jonathan,loaisjo01,2018.0,2262500.0,NY Yankees,A3,False,2964000.0,True,False,True
276,23488,Ron Marinaccio,25,40,44.0,0.4,marinaccio,ron,marinro01,2022.0,739900.0,NY Yankees,,False,0.0,False,False,True
277,21045,Seth Martinez,26,29,38.2,0.4,martinez,seth,martise01,2021.0,730200.0,Houston,,False,0.0,False,False,True
278,18333,Alex Young,27,25,26.2,0.4,young,alex,youngal01,2019.0,1150000.0,Cincinnati,A2,True,1964000.0,True,False,True
279,17897,Garrett Cleavinger,27,17,23.0,0.4,cleavinger,garrett,cleavga01,2020.0,725100.0,Tampa Bay,A1,False,1436000.0,False,False,True
280,17369,Brett Martin,26,55,50.0,0.4,martin,brett,martibr01,2019.0,1275000.0,Texas,A3,True,2312000.0,True,False,True
281,19200,Jose Quijada,25,42,40.2,0.4,quijada,josé,quijajo01,2019.0,750000.0,LA Angels,A1,False,1436000.0,True,False,True
282,23292,Packy Naughton,25,26,32.0,0.4,naughton,packy,naughpa01,2021.0,728750.0,St. Louis,,False,0.0,False,False,True
283,10197,Shelby Miller,30,4,7.0,0.4,miller,shelby,millesh01,2012.0,1500000.0,LA Dodgers,FA,False,0.0,True,True,False
284,21690,Edward Cabrera,23,14,71.2,0.3,cabrera,edward,cabreed02,2021.0,731000.0,Miami,,False,0.0,False,True,False
285,20517,Nick Sandlin,24,46,44.0,0.3,sandlin,nick,sandlni01,2021.0,726000.0,Cleveland,A1,True,1191000.0,False,False,True
286,22361,Colin Holderman,25,24,28.1,0.3,holderman,colin,holdeco01,2022.0,725000.0,Pittsburgh,,False,0.0,False,False,True
287,20353,Steven Wilson,26,50,53.0,0.3,wilson,steven,wilsost02,2022.0,726400.0,San Diego,,False,0.0,False,False,True
288,19343,A.J. Puk,26,62,66.1,0.3,puk,a. j.,pukaj01,2019.0,736000.0,Miami,A1,False,1257000.0,True,False,True
289,14542,Carlos Estevez,28,62,57.0,0.3,estévez,carlos,estevca01,2016.0,6750000.0,LA Angels,$6.750,False,6750000.0,True,False,True
290,13799,Matt Strahm,29,50,44.2,0.3,strahm,matt,strahma01,2016.0,7500000.0,Philadelphia,$7.500,False,7500000.0,True,True,False
291,9111,Brad Hand,31,55,45.0,0.3,hand,brad,handbr01,2011.0,1500000.0,Colorado,$0.500,False,500000.0,True,False,True
292,19618,Jordan Hicks,24,35,61.1,0.3,hicks,jordan,hicksjo03,2018.0,1837500.0,St. Louis,FA,False,0.0,True,True,False
293,16258,Aaron Bummer,27,32,26.2,0.3,bummer,aaron,bummeaa01,2017.0,3750000.0,Chi White Sox,$5.500,False,5500000.0,True,False,True
294,19716,Dustin May,23,6,30.0,0.3,may,dustin,maydu01,2019.0,1675000.0,LA Dodgers,A2,False,1425000.0,True,True,False
295,19995,Joel Kuhnel,26,53,58.0,0.3,kuhnel,joel,kuhnejo01,2019.0,730000.0,Cincinnati,,False,0.0,True,False,True
296,26253,Ryne Nelson,23,3,18.1,0.3,nelson,ryne,nelsory01,2022.0,722700.0,Arizona,,False,0.0,False,True,False
297,15552,Chad Green,30,14,15.0,0.3,green,chad,greench03,2016.0,2250000.0,Toronto,$6.250,False,6250000.0,True,False,True
298,19541,Jimmy Lambert,26,42,47.0,0.3,lambert,jimmy,lambeji01,2020.0,735000.0,Chi White Sox,A1,True,1191000.0,False,False,True
299,15915,Victor Arano,26,43,42.0,0.3,arano,víctor,aranovi01,2017.0,925000.0,Washington,A3,False,2403000.0,True,False,True
300,20206,Mike Baumann,25,13,34.1,0.3,baumann,mike,baumami01,2021.0,722300.0,Baltimore,,False,0.0,False,False,True
301,13435,Pierce Johnson,30,15,14.1,0.3,johnson,pierce,johnspi01,2017.0,5000000.0,Colorado,FA,False,0.0,True,False,True
302,14361,Ty Blach,30,24,44.1,0.3,blach,ty,blachty01,2016.0,1100000.0,Colorado,A2,False,1425000.0,True,True,False
303,7048,Fernando Cruz,31,14,14.2,0.3,cruz,fernando,cruzfe01,2022.0,720000.0,Cincinnati,,False,0.0,False,False,True
304,16269,John Means,28,2,8.0,0.3,means,john,meansjo01,2018.0,2975000.0,Baltimore,A3,False,1722000.0,True,True,False
305,10343,Aaron Loup,33,65,58.2,0.3,loup,aaron,loupaa01,2012.0,7500000.0,LA Angels,$2.000,False,2000000.0,True,False,True
306,21846,Cole Ragans,23,9,40.0,0.3,ragans,cole,raganco01,2022.0,724145.0,Texas,,False,0.0,False,False,True
307,10430,Mychal Givens,31,59,61.1,0.2,givens,mychal,givenmy01,2015.0,3000000.0,Baltimore,$2.000,False,2000000.0,True,False,True
308,20039,Adrian Morejon,22,26,34.0,0.2,morejón,adrián,morejad01,2019.0,800000.0,San Diego,A2,False,1516000.0,True,False,True
309,14332,Joel Payamps,27,41,55.2,0.2,payamps,joel,payamjo01,2019.0,730500.0,Milwaukee,A1,False,1078000.0,True,False,True
310,12447,Seth Lugo,31,62,65.0,0.2,lugo,seth,lugose01,2016.0,7500000.0,San Diego,$7.500,False,7500000.0,True,True,False
311,19309,Trevor Richards,28,62,64.0,0.2,richards,trevor,richatr01,2018.0,1500000.0,Toronto,A3,False,1388000.0,True,True,False
312,19178,Tommy Nance,30,35,43.2,0.2,nance,tommy,nanceto01,2021.0,729500.0,Miami,,False,0.0,False,False,True
313,15043,Lou Trivino,29,64,53.2,0.2,trivino,lou,trivilo01,2018.0,4100000.0,NY Yankees,A4,True,2240000.0,True,False,True
314,13594,Robert Stephenson,28,58,58.0,0.2,stephenson,robert,stephro01,2016.0,1750000.0,Pittsburgh,FA,False,0.0,True,False,True
315,16401,Yonny Chirinos,27,2,7.0,0.2,chirinos,yonny,chiriyo01,2018.0,1275000.0,Tampa Bay,A4,True,1496000.0,True,True,False
316,17610,Tanner Rainey,28,29,30.0,0.2,rainey,tanner,raineta01,2018.0,1500000.0,Washington,A3,True,1516000.0,True,False,True
317,19647,Matt Foster,26,48,45.0,0.2,foster,matt,fostema01,2020.0,734000.0,Chi White Sox,A1,False,1078000.0,False,False,True
318,17186,Dinelson Lamet,28,32,32.1,0.2,lamet,dinelson,lametdi01,2017.0,5000000.0,Colorado,FA,False,0.0,True,True,False
319,22175,Max Kranick,23,2,5.0,0.2,kranick,max,kranima01,2021.0,725000.0,Pittsburgh,,False,0.0,False,False,True
320,21298,Andre Jackson,25,4,9.2,0.2,jackson,andre,jacksan01,2021.0,722500.0,LA Dodgers,,False,0.0,False,False,True
321,10603,Chris Sale,32,2,5.2,0.2,sale,chris,salech01,2010.0,21672484.0,Boston,$21.673,False,21673000.0,True,True,False
322,16631,Jeff Brigham,29,16,24.0,0.2,brigham,jeff,brighje01,2018.0,760000.0,NY Mets,A2,False,1516000.0,True,False,True
323,20010,Wyatt Mills,26,27,29.1,0.2,mills,wyatt,millswy01,2021.0,727500.0,Boston,,False,0.0,False,False,True
324,19926,Tony Santillan,24,21,19.2,0.2,santillan,tony,santito01,2021.0,730000.0,Cincinnati,,False,0.0,False,False,True
325,15042,Tim Mayza,29,63,48.2,0.1,mayza,tim,mayzati01,2017.0,2100000.0,Toronto,A3,True,1118000.0,True,False,True
326,21366,Glenn Otto,25,27,135.2,0.1,otto,glenn,ottogl01,2021.0,736340.0,Texas,,False,0.0,False,True,False
327,13607,Carl Edwards Jr.,29,57,62.0,0.1,edwards,carl,edwarca01,2015.0,2250000.0,Washington,FA,False,0.0,True,False,True
328,10291,Ryan Tepera,33,59,57.1,0.1,tepera,ryan,teperry01,2015.0,7000000.0,LA Angels,FA,False,0.0,True,False,True
329,15684,Miguel Castro,26,34,29.0,0.1,castro,miguel,castrmi01,2015.0,3500000.0,Arizona,opt,False,720000.0,True,False,True
330,19454,Michael Rucker,27,41,54.2,0.1,rucker,michael,ruckemi01,2021.0,737000.0,Chi Cubs,,False,0.0,False,False,True
331,26079,Beau Brieske,23,15,81.2,0.1,brieske,beau,briesbe01,2022.0,724400.0,Detroit,,False,0.0,False,False,True
332,18335,Josh Staumont,27,42,37.2,0.1,staumont,josh,staumjo01,2019.0,1025000.0,Kansas City,A2,False,1118000.0,True,False,True
333,15440,Matthew Boyd,30,10,13.1,0.1,boyd,matt,boydma01,2015.0,10000000.0,Detroit,FA,False,0.0,True,True,False
334,1246,Matt Bush,35,65,59.2,0.1,bush,matt,bushma01,2016.0,1850000.0,Milwaukee,FA,False,0.0,True,False,True
335,18519,Phil Bickford,25,60,61.0,0.1,bickford,phil,bickfph01,2020.0,740000.0,LA Dodgers,,False,0.0,False,False,True
336,6398,Trevor May,31,26,25.0,0.1,may,trevor,maytr01,2014.0,7000000.0,Oakland,FA,False,0.0,True,False,True
337,14444,Hyun-Jin Ryu,34,6,27.0,0.1,ryu,hyun jin,ryuhy01,2013.0,20000000.0,Toronto,FA,False,0.0,True,True,False
338,6399,Jose Cisnero,32,28,25.0,0.1,cisnero,josé,cisnejo01,2013.0,2287500.0,Detroit,FA,False,0.0,True,False,True
339,25918,Zack Thompson,23,22,34.2,0.1,thompson,zack,thompza02,2022.0,725000.0,St. Louis,,False,0.0,False,False,True
340,25388,Cody Morris,24,7,23.2,0.1,morris,cody,morrico01,2022.0,720200.0,Cleveland,,False,0.0,False,False,True
341,21850,Mason Thompson,23,24,24.2,0.1,thompson,mason,thompma02,2021.0,724400.0,Washington,,False,0.0,False,False,True
342,22461,Logan Gillaspie,24,17,17.1,0.1,gillaspie,logan,gillalo01,2022.0,721200.0,Baltimore,,False,0.0,False,False,True
