2023 MLB Salaries,,,,
Last,First,Pos'n,MLS,2023
Ruiz, Keibert,c,1.064,"$1,375,000 "
Bethancourt, Christian,c,3.038,"$1,350,000 "
Stephan, Trevor,rhp,2,"$1,350,000 "
Alberto, Hanser,2b,6.085,"$1,300,000 "
Smith, Drew,rhp,4.034,"$1,300,000 "
Castro, Harold,3b,3.141,"$1,300,000 "
King, Michael,rhp,3.004,"$1,300,000 "
Phillips, Evan,rhp,2.136,"$1,300,000 "
Chirinos, Yonny,rhp-s,4.137,"$1,275,000 "
Martin, Brett,lhp,3.151,"$1,275,000 "
Sims, Lucas,rhp,4.014,"$1,267,500 "
Lamb, Jake,1b,7.14,"$1,250,000 "
Shreve, Chasen,lhp,6.079,"$1,250,000 "
Gurriel, Yuli,1b,6.043,"$1,250,000 "
Jankowski, Travis,cf,5.153,"$1,250,000 "
Dahl, David,lf,4.116,"$1,250,000 "
Gallagher, Cam,c,4.073,"$1,250,000 "
Swanson, Erik,rhp,3.096,"$1,250,000 "
Beaty, Matt,1b,3.086,"$1,250,000 "
Toro, Abraham,3b,2.149,"$1,250,000 "
Whitlock, Garrett,rhp-s,2,"$1,250,000 "
McGuire, Reese,c,3.027,"$1,225,000 "
Graterol, Brusdar,rhp-c,2.167,"$1,225,000 "
Madrigal, Nick,2b,2.164,"$1,225,000 "
Chavez, Jesse,rhp,12.038,"$1,200,000 "
Nelson, Jimmy,rhp,8.107,"$1,200,000 "
Armstrong, Shawn,rhp,4.113,"$1,200,000 "
Gott, Trevor,rhp,4.057,"$1,200,000 "
Refsnyder, Rob,2b-of,4.048,"$1,200,000 "
Matzek, Tyler,lhp,4.019,"$1,200,000 "
Kinley, Tyler,rhp,4.014,"$1,200,000 "
Phillips, Brett,of,3.15,"$1,200,000 "
Torrens, Luis,c,3.091,"$1,200,000 "
Ashby, Aaron,lhp,1.046,"$1,200,000 "
Maile, Luke,c,5.148,"$1,175,000 "
Poche, Colin,lhp,3.109,"$1,175,000 "
Alexander, Scott,lhp,5.08,"$1,150,000 "
Lucchesi, Joey,lhp-s,4.067,"$1,150,000 "
Clarke, Taylor,rhp,3.12,"$1,150,000 "
Young, Alex,lhp,2.143,"$1,150,000 "
Ferguson, Caleb,lhp,4.088,"$1,100,000 "
Knizner, Andrew,c,3.021,"$1,100,000 "
Blach, Ty,lhp-s,3.007,"$1,100,000 "
Barria, Jaime,rhp,3.035,"$1,050,000 "
Taylor, Josh,lhp,3.121,"$1,025,000 "
Staumont, Josh,rhp,3.072,"$1,025,000 "
Milner, Hoby,lhp,3.068,"$1,025,000 "
Underwood Jr., Duane,rhp,3.044,"$1,025,000 "
Cruz, Nelson,dh-rf,15.082,"$1,000,000 "
Adrianza, Ehire,ss,8.131,"$1,000,000 "
Ramirez, Erasmo,rhp,7.169,"$1,000,000 "
Engel, Adam,of,5.058,"$1,000,000 "
Reyes, Alex,rhp-s,5.056,"$1,000,000 "
Cordero, Franchy,cf-rf,4.092,"$1,000,000 "
Coulombe, Daniel,lhp,4.008,"$1,000,000 "
Santana, Dennis,rhp,3.095,"$1,000,000 "
Chavis, Michael,3b,3.089,"$1,000,000 "
Law, Derek,rhp,3.081,"$1,000,000 "
Thornton, Trent,rhp-s,3.073,"$1,000,000 "
Wingenter, Trey,rhp,3.053,"$1,000,000 "
Rios, Edwin,3b,3.003,"$1,000,000 "
Thompson, Ryan,rhp,3,"$1,000,000 "
Mendick, Danny,ss,2.168,"$1,000,000 "
Strider, Spencer,rhp-s,1.003,"$1,000,000 "
Vosler, Jason,3b,0.109,"$1,000,000 "
Hernandez, Jonathan,rhp,3.041,"$995,000 "
Vargas, Ildemaro,2b,3.007,"$975,000 "
Cave, Jake,rf,3.137,"$950,000 "
Cabrera, Genesis,lhp,3.011,"$950,000 "
Sosa, Edmundo,ss,2.14,"$950,000 "
Ruiz, Jose,rhp,3.048,"$925,000 "
Arano, Victor,rhp,3.022,"$925,000 "
Bradley, Jackie Jr.,cf,8.15,"$900,000 "
Dunn, Justin,rhp,3.016,"$900,000 "
Bemboom, Anthony,c,1.132,"$900,000 "
Anderson, Nick,rhp,3.153,"$875,000 "
Harvey, Hunter,rhp,3.047,"$870,000 "
Bellatti, Andrew,rhp,1.083,"$859,000 "
Wilson, Justin,lhp,10.035,"$850,000 "
Chargois, JT,rhp,3.101,"$850,000 "
Canning, Griffin,rhp,3.075,"$850,000 "
Chang, Yu-Cheng,ss,3.007,"$850,000 "
Banda, Anthony,lhp,2.137,"$850,000 "
Leiter Jr., Mark,rhp,2.031,"$850,000 "
Brentz, Jake,lhp,2,"$850,000 "
Taylor, Blake,lhp,3,"$830,000 "
Sulser, Cole,rhp,3.028,"$825,000 "
De Jong, Chase,rhp,2.061,"$820,000 "
Odor, Rougned,2b,8.121,"$800,000 "
Morejon, Adrian,lhp,3.013,"$800,000 "
Alcala, Jorge,rhp,3.014,"$790,000 "
Heuer, Codi,rhp,3,"$785,000 "
Coonrod, Sam,rhp,3.078,"$775,000 "
Curtiss, John,rhp,3.045,"$775,000 "
Motter, Taylor,of,1.113,"$775,000 "
Antone, Tejay,rhp,3,"$770,000 "
Kirk, Alejandro,c,2.047,"$767,300 "
Gilbert, Logan,rhp-s,1.144,"$767,300 "
Garcia, Luis,rhp-s,2.083,"$763,200 "
Wisdom, Patrick,3b-1b,2.058,"$763,000 "
Brigham, Jeff,rhp,3.01,"$760,000 "
India, Jonathan,2b,2,"$760,000 "
Vaughn, Andrew,1b,2,"$760,000 "
Raleigh, Cal,c,1.085,"$758,300 "
Kirby, George,rhp-s,0.135,"$758,300 "
Mantiply, Joe,lhp,2.049,"$756,000 "
Pena, Jeremy,ss,1,"$754,900 "
McCormick, Chas,cf,2,"$752,500 "
Rogers, Trevor,lhp-s,2.094,"$752,000 "
Allard, Kolby,lhp,2.162,"$750,000 "
Peterson, David,lhp-s,2.125,"$750,000 "
Lux, Gavin,ss,2.114,"$750,000 "
Feyereisen, J.P.,rhp,2.108,"$750,000 "
Vesia, Alex,lhp,2.103,"$750,000 "
Hilliard, Sam,rf,2.094,"$750,000 "
Suarez, Jose,lhp-s,2.084,"$750,000 "
Herget, Jimmy,rhp,2.079,"$750,000 "
Tonkin, Michael,rhp,2.074,"$750,000 "
Wright, Kyle,rhp-s,2.062,"$750,000 "
Quijada, Jose,lhp,2.046,"$750,000 "
Crismatt, Nabil,rhp,2.033,"$750,000 "
Schreiber, John,rhp,2.027,"$750,000 "
De Los Santos, Enyel,rhp,2.015,"$750,000 "
Ynoa, Huascar,rhp,2.011,"$750,000 "
Viloria, Meibrys,c,1.096,"$750,000 "
Zastryzny, Rob,lhp,0.118,"$750,000 "
Chisholm Jr., Jazz,cf,2.075,"$749,500 "
Bohm, Alec,3b,2.106,"$748,000 "
Garcia, Adolis,rf,2.095,"$747,760 "
Ginkel, Kevin,rhp,2.033,"$746,600 "
Witt Jr., Bobby,ss,1,"$745,750 "
Heim, Jonah,c,2.097,"$745,660 "
Manoah, Alek,rhp-s,1.13,"$745,650 "
Abreu, Bryan,rhp,2.022,"$745,200 "
Bednar, David,rhp-c,2.076,"$745,000 "
Nelson, Nick,rhp,2.049,"$745,000 "
Crowe, Wil,rhp,2.011,"$745,000 "
Alzolay, Adbert,rhp-s,2.05,"$744,750 "
Skubal, Tarik,lhp,2.114,"$743,700 "
White, Mitch,rhp,1.087,"$743,000 "
Dunning, Dane,rhp,2.083,"$742,840 "
Burke, Brock,lhp,2.065,"$742,840 "
Effross, Scott,rhp,1.037,"$742,750 "
Carlson, Dylan,cf,2.104,"$742,400 "
Pop, Zach,rhp,1.094,"$742,200 "
Cabrera, Oswaldo,2b-3b,0.05,"$742,100 "
Jeffers, Ryan,c,2.089,"$741,650 "
Stubbs, Garrett,c,2.12,"$741,000 "
Olivares, Edward,lf,2.055,"$740,750 "
Schmidt, Clarke,rhp-s,1.148,"$740,475 "
Haase, Eric,c,2.072,"$740,100 "
Perez, Carlos,c,2.167,"$740,000 "
Fraley, Jake,dh,2.097,"$740,000 "
Stephenson, Tyler,c,2.056,"$740,000 "
Steele, Justin,lhp-s,1.143,"$740,000 "
Bickford, Phil,rhp,1.134,"$740,000 "
Thompson, Keegan,rhp,1.131,"$740,000 "
Houck, Tanner,rhp,1.1,"$740,000 "
Rodriguez, Chris,rhp,1.085,"$740,000 "
Wantz, Andrew,rhp,1.065,"$740,000 "
Detmers, Reid,lhp-s,1.059,"$740,000 "
Davidson, Tucker,lhp,1.039,"$740,000 "
Thaiss, Matt,c,1.038,"$740,000 "
Marinaccio, Ron,rhp,0.154,"$739,900 "
Woodford, Jake,rhp-s,2.052,"$739,800 "
McKenzie, Triston,rhp-s,2.074,"$739,500 "
Okert, Steven,lhp,2.109,"$739,000 "
Contreras, William,c,1.106,"$739,000 "
Brogdon, Connor,rhp,2.067,"$738,750 "
Abreu, Albert,rhp,1.118,"$738,700 "
Garcia, Luis,2b,1.164,"$738,600 "
Perdomo, Geraldo,ss,1.015,"$738,600 "
Bender, Anthony,rhp,1.153,"$738,500 "
Mountcastle, Ryan,1b,2.105,"$738,400 "
Sanchez, Jesus,of,1.118,"$738,000 "
Irvin, Cole,lhp-s,2.12,"$737,600 "
Merryweather, Julian,rhp,2.109,"$737,000 "
McClanahan, Shane,lhp-s,1.158,"$737,000 "
Rucker, Michael,rhp,1.033,"$737,000 "
Otto, Glenn,rhp-s,1.033,"$736,340 "
Puk, A.J.,lhp,2.124,"$736,000 "
De La Cruz, Bryan,lf,1.056,"$736,000 "
Kirilloff, Alex,1b,1.141,"$735,650 "
McCarthy, Jake,rf,0.17,"$735,600 "
Taylor, Tyrone,of,2.093,"$735,400 "
Gordon, Nick,ss,1.136,"$735,400 "
Thomas, Alek,cf,0.151,"$735,200 "
Paredes, Isaac,3b,1.16,"$735,000 "
Joe, Connor,1b,1.136,"$735,000 "
Lambert, Jimmy,rhp,1.134,"$735,000 "
Bart, Joey,c,1.094,"$735,000 "
Oviedo, Johan,rhp-s,1.079,"$735,000 "
Gonzalez, Luis,of,1.076,"$735,000 "
Sheets, Gavin,1b,1.073,"$735,000 "
Doval, Camilo,rhp-c,1.071,"$735,000 "
Tapia, Domingo,rhp,0.168,"$735,000 "
Urias, Ramon,2b,2.025,"$734,700 "
McKinstry, Zach,2b,1.099,"$734,500 "
Marsh, Brandon,cf,1.078,"$734,500 "
Stott, Bryson,2b,0.171,"$734,500 "
Mize, Casey,rhp-s,2.111,"$734,200 "
Foster, Matt,rhp,2.093,"$734,000 "
Rutschman, Adley,c,1,"$733,900 "
Larnach, Trevor,of,1.101,"$733,650 "
Howard, Spencer,rhp,2.033,"$733,455 "
Sborz, Josh,rhp,2.055,"$733,450 "
Taveras, Leody,cf,1.124,"$733,445 "
Kieboom, Carter,ss,2.086,"$733,400 "
Jax, Griffin,rhp,1.091,"$733,150 "
Crochet, Garrett,lhp,2.028,"$733,000 "
Falter, Bailey,lhp-s,1.032,"$733,000 "
Wilson, Bryse,rhp-s,2.036,"$732,600 "
Ridings, Stephen,rhp,1.014,"$732,500 "
Alexander, Jason,rhp,0.103,"$732,500 "
Perez, Cionel,lhp,2.085,"$732,400 "
Wells, Tyler,rhp-s,2,"$732,400 "
Nootbaar, Lars,lf,1.076,"$732,400 "
Zavala, Seby,c,1.045,"$732,000 "
Meyers, Jake,lf,1.044,"$732,000 "
Garrett, Braxton,lhp,0.168,"$732,000 "
Bautista, Felix,rhp-c,1,"$731,800 "
Coleman, Dylan,rhp,1.014,"$731,750 "
Siri, Jose,cf,1.015,"$731,600 "
Celestino, Gilberto,cf,1.057,"$731,450 "
Kremer, Dean,rhp-s,1.112,"$731,200 "
Akin, Keegan,lhp,2.083,"$731,100 "
Miller, Owen,2b,1.091,"$731,100 "
Cabrera, Edward,rhp-s,0.168,"$731,000 "
Payamps, Joel,rhp,2.027,"$730,500 "
Hernandez, Carlos,rhp,1.145,"$730,250 "
Lynch, Daniel,lhp-s,1.083,"$730,250 "
Ryan, Joe,rhp-s,1.033,"$730,250 "
Hentges, Sam,lhp,1.157,"$730,200 "
Martinez, Seth,rhp,0.152,"$730,200 "
Castillo, Jose,lhp,3.125,"$730,000 "
Brown, Seth,dh-1b,2.104,"$730,000 "
Daza, Yonathan,of,2.101,"$730,000 "
Kaprielian, James,rhp-s,2.004,"$730,000 "
Gutierrez, Vladimir,rhp,1.127,"$730,000 "
Santillan, Tony,rhp,1.09,"$730,000 "
Rortvedt, Ben,c,1.086,"$730,000 "
Barrero, Jose,ss,1.082,"$730,000 "
Gibaut, Ian,rhp,1.077,"$730,000 "
Gray, Josiah,rhp-s,1.075,"$730,000 "
Kuhnel, Joel,rhp,1.041,"$730,000 "
Overton, Connor,rhp-s,1.041,"$730,000 "
Diaz, Alexis,rhp-c,1,"$730,000 "
Greene, Hunter,rhp-s,1,"$730,000 "
Lodolo, Nick,lhp-s,1,"$730,000 "
Nogosek, Stephen,rhp,0.165,"$730,000 "
Lee, Dylan,lhp,0.15,"$730,000 "
Fortes, Nick,c,0.149,"$730,000 "
Crawford, Kutter,rhp-s,0.136,"$730,000 "
Marte, Jose,rhp,0.109,"$730,000 "
O'Hoppe, Logan,c,0.008,"$730,000 "
Daniel, Davis,rhp,0.002,"$730,000 "
Nance, Tommy,rhp,1.036,"$729,500 "
Bello, Brayan,rhp-s,0.082,"$729,500 "
Kelenic, Jarred,lf,0.169,"$729,400 "
Manning, Matt,rhp-s,1.098,"$729,200 "
Baker, Bryan,rhp,1.008,"$729,000 "
Nelson, Kyle,lhp,1.076,"$728,900 "
Adams, Riley,c,1.05,"$728,800 "
Naughton, Packy,lhp,1.003,"$728,750 "
Pallante, Andre,rhp,1,"$728,600 "
Donovan, Brendan,2b,0.164,"$728,600 "
Florial, Estevan,of,0.088,"$728,500 "
Martin, Corbin,rhp,1.079,"$728,400 "
Bradish, Kyle,rhp-s,0.16,"$728,100 "
Hughes, Brandon,lhp,0.141,"$728,000 "
Miranda, Jose,3b,0.157,"$727,850 "
Greene, Riley,cf,0.11,"$727,800 "
Walls, Taylor,ss,1.092,"$727,600 "
Weathers, Ryan,lhp,1.001,"$727,600 "
Isbel, Kyle,cf,1.042,"$727,500 "
Mills, Wyatt,rhp,0.134,"$727,500 "
Kwan, Steven,lf,1,"$727,300 "
Vierling, Matt,lf,1.026,"$727,100 "
Lewis, Royce,ss,0.142,"$727,100 "
Smith, Josh H.,ss-2b,0.111,"$727,095 "
Fleming, Josh,lhp-s,2.008,"$727,000 "
Morgan, Eli,rhp,1.108,"$727,000 "
Murfee, Penn,rhp,0.169,"$727,000 "
Gorman, Nolan,inf-dh,0.139,"$726,950 "
Trammell, Taylor,of,1.029,"$726,700 "
Haggerty, Sam,2b,2.093,"$726,600 "
Maton, Nick,3b,1.034,"$726,600 "
Melendez, MJ,rf-c,0.153,"$726,500 "
Wilson, Steven,rhp,1,"$726,400 "
Strzelecki, Peter,rhp,0.081,"$726,400 "
Foley, Jason,rhp,1.026,"$726,200 "
Moran, Jovani,lhp,0.124,"$726,200 "
Rogers, Jake,c,2.04,"$726,000 "
Sandlin, Nick,rhp,1.152,"$726,000 "
Lange, Alex,rhp-c,1.112,"$726,000 "
Cuas, Jose,rhp,0.123,"$726,000 "
McKenna, Ryan,of,1.135,"$725,800 "
Brash, Matt,rhp-s,0.121,"$725,800 "
Winder, Josh,rhp,0.113,"$725,650 "
Pasquantino, Vinnie,1b,0.101,"$725,500 "
Marte, Yunior,rhp,0.091,"$725,500 "
Festa, Matt,rhp,1.085,"$725,200 "
Cleavinger, Garrett,lhp,1.06,"$725,100 "
Gilbreath, Lucas,lhp,1.147,"$725,000 "
Moll, Sam,lhp,1.075,"$725,000 "
Rooker, Brent,of,1.059,"$725,000 "
Acevedo, Domingo,rhp,1.033,"$725,000 "
Jimenez, Dany,rhp-c,1.031,"$725,000 "
Snead, Kirby,lhp,1.009,"$725,000 "
Jackson, Zach,rhp,1,"$725,000 "
Rolison, Ryan,lhp,1,"$725,000 "
Honeywell, Brent,rhp,0.166,"$725,000 "
Kranick, Max,rhp,0.159,"$725,000 "
Holderman, Colin,rhp,0.13,"$725,000 "
Castro, Rodolfo,2b,0.127,"$725,000 "
Moreta, Dauri,rhp,0.12,"$725,000 "
Sanchez, Cristopher,lhp,0.12,"$725,000 "
Suwinski, Jack,cf,0.118,"$725,000 "
Smith-Njigba, Canaan,of,0.115,"$725,000 "
Contreras, Roansy,rhp-s,0.112,"$725,000 "
Thompson, Zack,lhp,0.1,"$725,000 "
Brown, Hunter,rhp,0.035,"$725,000 "
Bae, Ji Hwan,2b,0.013,"$725,000 "
Guerra, Javier,rhp,2.11,"$724,500 "
Hall, Darick,1b,0.061,"$724,500 "
Thompson, Mason,rhp,1.046,"$724,400 "
Brieske, Beau,rhp,0.166,"$724,400 "
Thompson, Bubba,of,0.063,"$724,305 "
Herrera, Jose,c,0.124,"$724,300 "
Mitchell, Garrett,cf,0.04,"$724,300 "
Abrams, CJ,ss,0.13,"$724,200 "
Duran, Ezequiel,2b,0.072,"$724,170 "
Ragans, Cole,lhp,0.063,"$724,145 "
Brazoban, Huascar,rhp,0.074,"$724,000 "
Hummel, Cooper,lf,0.132,"$723,800 "
Villar, David,3b,0.067,"$723,750 "
Szapucki, Thomas,lhp,0.061,"$723,750 "
Azocar, Jose,lf-cf,0.149,"$723,700 "
Carpenter, Kerry,of,0.057,"$723,700 "
Sands, Cole,rhp,0.073,"$723,650 "
Baz, Shane,rhp-s,1.014,"$723,600 "
Jameson, Drey,rhp,0.021,"$723,600 "
Marchan, Rafael,c,0.164,"$723,500 "
Vasquez, Andrew,lhp,0.139,"$723,500 "
Kelly, Zack,rhp,0.038,"$723,500 "
Casas, Triston,1b,0.032,"$723,500 "
Wentz, Joey,lhp,0.03,"$723,500 "
Gil, Luis,rhp,0.073,"$723,400 "
Gore, MacKenzie,lhp-s,1,"$723,300 "
Meneses, Joey,dh-1b,0.065,"$723,300 "
Lowe, Josh,3b,0.093,"$723,200 "
Henderson, Gunnar,3b,0.036,"$723,200 "
Torkelson, Spencer,1b,0.137,"$723,100 "
Nevin, Tyler,3b,0.133,"$723,000 "
Gonzalez, Romy,2b,0.083,"$723,000 "
Nardi, Andrew,lhp,0.053,"$723,000 "
Massey, Michael,2b,0.068,"$722,850 "
Campusano, Luis,c,0.144,"$722,700 "
Nelson, Ryne,rhp-s,0.031,"$722,700 "
Gonzalez, Oscar,rf,0.133,"$722,600 "
Hensley, David,ss-3b,0.047,"$722,600 "
Sanmartin, Reiver,lhp,0.147,"$722,500 "
Ashcraft, Graham,rhp-s,0.136,"$722,500 "
Fairchild, Stuart,of,0.136,"$722,500 "
Friedl, TJ,lf,0.112,"$722,500 "
Moreno, Gabriel,c,0.061,"$722,500 "
Vargas, Miguel,2b,0.041,"$722,500 "
Jackson, Andre,rhp,0.039,"$722,500 "
Montes de Oca, Bryce,rhp,0.033,"$722,500 "
Guthrie, Dalton,ss,0.032,"$722,500 "
Grove, Michael,rhp,0.031,"$722,500 "
Pepiot, Ryan,rhp-s,0.022,"$722,500 "
Outman, James,cf,0.006,"$722,500 "
Waters, Drew,of,0.045,"$722,400 "
Raley, Luke,rf,0.106,"$722,300 "
Hill, Garrett,rhp,0.082,"$722,300 "
Baumann, Mike,rhp,0.081,"$722,300 "
Eaton, Nate,of,0.058,"$722,200 "
Stowers, Kyle,dh-of,0.052,"$722,200 "
Vavra, Terrin,2b,0.072,"$722,100 "
Lawrence, Justin,rhp,0.167,"$722,000 "
Feltner, Ryan,rhp-s,0.143,"$722,000 "
Serven, Brian,c,0.142,"$722,000 "
Trejo, Alan,ss,0.119,"$722,000 "
Bird, Jake,rhp,0.117,"$722,000 "
Montero, Elehuris,3b,0.097,"$722,000 "
Wong, Connor,c,0.079,"$722,000 "
Winckowski, Josh,rhp,0.074,"$722,000 "
Ort, Kaleb,rhp,0.072,"$722,000 "
Bouchard, Sean,1b,0.068,"$722,000 "
Seabold, Connor,rhp,0.058,"$722,000 "
Tovar, Ezequiel,ss,0.014,"$722,000 "
Call, Alex,cf,0.075,"$721,800 "
Mushinski, Parker,lhp,0.071,"$721,800 "
Kreidler, Ryan,ss,0.035,"$721,600 "
Meyer, Max,rhp,0.082,"$721,500 "
Faucher, Calvin,rhp,0.07,"$721,500 "
Assad, Javier,rhp,0.044,"$721,500 "
Wesneski, Hayden,rhp-s,0.031,"$721,500 "
Jung, Josh,3b,0.027,"$721,485 "
Burleson, Alec,of,0.029,"$721,450 "
Zerpa, Angel,lhp,0.082,"$721,400 "
Gillaspie, Logan,rhp,0.047,"$721,200 "
Blanco, Ronel,rhp,0.025,"$721,200 "
Roberts, Ethan,rhp,1,"$721,000 "
Vargas, Carlos,rhp,0.123,"$721,000 "
Henriquez, Ronny,rhp,0.018,"$720,900 "
Mastrobuoni, Miles,2b,0.014,"$720,500 "
Rosario, Eguy,2b,0.041,"$720,400 "
Rodriguez, Wilking,rhp,0.008,"$720,400 "
Diaz, Yainer,c,0.035,"$720,300 "
Morris, Cody,rhp,1,"$720,200 "
Cavalli, Cade,rhp,0.041,"$720,200 "
Pineda, Israel,c,0.027,"$720,200 "
Gaddis, Hunter,rhp,0.022,"$720,100 "
Arias, Gabriel,ss,0.019,"$720,100 "
Brennan, Will,of,0.015,"$720,100 "
Curry, Xzavion,rhp,0.003,"$720,100 "
Cordero, Jimmy,rhp,2.136,"$720,000 "
Duran, Jhoan,rhp-c,1,"$720,000 "
Oller, Adam,rhp,0.128,"$720,000 "
Allen, Nick,ss,0.126,"$720,000 "
Cruz, Oneil,ss,0.11,"$720,000 "
Delay, Jason,c,0.095,"$720,000 "
Sears, JP,lhp,0.081,"$720,000 "
Benson, Will,cf,0.066,"$720,000 "
Santos, Gregory,rhp,0.055,"$720,000 "
Martinez, Adrian,rhp,0.054,"$720,000 "
Langeliers, Shea,c,0.051,"$720,000 "
Muller, Kyle,lhp-s,0.046,"$720,000 "
Capel, Conner,lf,0.044,"$720,000 "
Cruz, Fernando,rhp,0.035,"$720,000 "
Steer, Spencer,3b,0.035,"$720,000 "
Waldichuk, Ken,lhp-s,0.035,"$720,000 "
Ruiz, Esteury,cf,0.029,"$720,000 "
Tarnok, Freddy,rhp,0.002,"$720,000 "
Brito, Jhony,rhp,0,"$720,000 "
Colas, Oscar,rf,0,"$720,000 "
Englert, Mason,rhp,0,"$720,000 "
Enright, Nic,rhp,0,"$720,000 "
Harris, Hobie,rhp,0,"$720,000 "
Hernandez, Diego,of,0,"$720,000 "
Hernandez, Jose,lhp,0,"$720,000 "
Herrin, Tim,lhp,0,"$720,000 "
Julks, Corey,3b-of,0,"$720,000 "
Kelly, Kevin,rhp,0,"$720,000 "
Lukes, Nathan,of,0,"$720,000 "
Noda, Ryan,1b,0,"$720,000 "
Pacheco, Freddy,rhp,0,"$720,000 "
Sabol, Blake,of,0,"$720,000 "
Salazar, Cesar,c-1b,0,"$720,000 "
Shuster, Jared,lhp-s,0,"$720,000 "
Song, Noah,rhp,0,"$720,000 "
Turang, Brice,2b,0,"$720,000 "
Varland, Gus,rhp,0,"$720,000 "
Volpe, Anthony,ss,0,"$720,000 "
Walker, Jordan,rf,0,"$720,000 "
Ward, Thaddeus,rhp,0,"$720,000 "
Wisely, Brett,ss,0,"$720,000 "
Abbott, Cory,rhp,0.084,
Abreu, Wilyer,of,0,
Acuna, Luisangel,ss,0,
Adell, Jo,of,1.162,
Adon, Joan,rhp,0.068,
Alcantara, Kevin,of,0,
Alexander, Blaze,ss,0,
Alexy, A.J.,rhp,0.055,
Alu, Jake,inf,0,
Alvarez, Francisco,c,0.006,
Amaya, Jacob,2b-ss,0.001,
Amaya, Miguel,c,0,
Anderson, Ian,rhp,2.046,
Aranda, Jonathan,2b,0.047,
Avila, Pedro,rhp,0.025,
Baddoo, Akii,of,1.119,
Balazovic, Jordan,rhp,0,
Banks, Tanner,lhp,0.137,
Bannon, Rylan,2b,0.028,
Barger, Addison,ss-3b,0,
Barlow, Joe,rhp,1.103,
Barrosa, Jorge,lf,0,
Basabe, Osleivis,ss,0,
Batten, Matthew,2b,0.058,
Baty, Brett,3b,0.05,
Beck, Tristan,rhp,0,
Beer, Seth,of,0.078,
Bernabel, Warming,ss,0,
Bernardino, Brennan,lhp,0.005,
Berroa, Prelander,rhp,0,
Bielak, Brandon,rhp-s,2.032,
Bleday, JJ,of,0.075,
Bowlan, Jonathan,rhp,0,
Bradley, Taj,rhp,0,
Bride, Jonah,1b,0.114,
Brito, Juan,ss,0,
Brown, Ben,rhp,0,
Bruihl, Justin,lhp,0.146,
Brujan, Vidal,2b,0.085,
Burdick, Peyton,of,0.047,
Burger, Jake,3b,0.127,
Burrows, Michael,rhp,0,
Busch, Michael,2b,0,
Butler, Lawrence,1b-of,0,
Butto, Jose,rhp,0.002,
Calvo, Blair,rhp,0,
Campbell, Isaiah,rhp,0,
Canario, Alexander,of,0,
Cano, Yennier,rhp,0.065,
Canterino, Matt,rhp,0,
Cantillo, Joey,lhp,0,
Carreras, Julio,3b-ss,0,
Cartaya, Diego,c,0,
Castillo, Diego,3b,0.139,
Castillo, Max,rhp,0.056,
Clase, Jonatan,of,0,
Clemens, Kody,2b,0.12,
Cosgrove, Tom,lhp,0,
Cousins, Jake,rhp,1.09,
Cronin, Matt,lhp,0,
Cruz, Jose,rhp,0,
Dalbec, Bobby,3b,2.073,
Danner, Hagen,c,0,
Davis, Brennen,of,0,
Davis, Noah,rhp,0.02,
De La Cruz, Elly,ss-3b,0,
De La Rosa, Jeremy,cf,0,
De Los Santos, Yerry,rhp,0.136,
DeLuca, Jonny,lf,0,
Denoyer, Noah,rhp,0,
Diaz, Isan,ss,1.089,
Diaz, Jordan,3b,0.018,
Dixon, Brandon,2b-lf,1.151,
Downs, Jeter,ss,0.024,
Doyle, Brenton,of,0,
Dubin, Shawn,rhp,0,
Duran, Jarren,cf,0.16,
Edwards, Xavier,ss,0,
Elder, Bryce,rhp,0.04,
Elledge, Seth,rhp,0.16,
Encarnacion, Jerar,rf,0.053,
Espino, Paolo,rhp,2.075,
Estrada, Jeremiah,rhp,0.037,
Faedo, Alex,rhp,0.051,
Felipe, Angel,rhp,0,
Fermin, Freddy,c,0.004,
Fermin, Jose,ss,0,
Ferrer, Jose,lhp,0,
Fletcher, Domininc,rf,0,
France, J.P.,rhp,0,
Freeman, Tyler,ss,0.064,
Frias, Luis,rhp,0.067,
Gage, Matt,lhp,0.032,
Garcia, Deivi,rhp,0.061,
Garcia, Dermis,3b,0.069,
Garcia, Maikel,ss,0.015,
Garrett, Stone,of,0.05,
Garza, Justin,rhp,0.102,
German, Franklin,rhp,0.019,
Gomez, Moises,cf,0,
Gomez, Yoendrys,rhp,0,
Gonzalez, Victor,lhp,2.103,
Grissom, Vaughn,ss-3b,0.057,
Groome, Jay,lhp,0,
Groshans, Jordan,ss,0.023,
Hall, DL,lhp,0.036,
Hamilton, David,ss-2b,0,
Hampson, Garrett,2b-ss,4.03,
Harris, Dustin,1b-3b,0,
Harris, Hogan,lhp,0,
Hatch, Thomas,rhp,1.125,
Headrick, Brent,lhp,0,
Heasley, Jonathan,rhp-s,0.143,
Henry, Payton,c,0.066,
Henry, Tommy,lhp,0.049,
Hernandez, Yonny,ss,0.109,
Herrera, Ivan,c,0.029,
Hjelle, Sean,rhp,0.025,
Hollowell, Gavin,rhp,0.018,
Holton, Tyler,lhp,0.047,
Horwitz, Spencer,1b,0,
Huff, Sam,c,1.07,
Ingram, Kolton,lhp,0,
Irvin, Jake,rhp,0,
Jackson, Jay,rhp,1.105,
Jensen, Ryan,rhp,0,
Jimenez, Leo,ss,0,
Johnson, Seth,rhp,0,
Jones, Greg,ss,0,
Jones, Nolan,3b,0.045,
Julien, Edouard,2b,0,
Junk, Janson,rhp,0.048,
