,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
260,kahnle,tommy,592454,kahnt001,kahnlto01,11384,2014.0,2023.0
261,cease,dylan,656302,ceasd001,ceasedy01,18525,2019.0,2023.0
262,gallen,zac,668678,gallz001,galleza01,19291,2019.0,2023.0
263,farmer,kyle,571657,farmk001,farmeky01,14813,2017.0,2023.0
264,quantrill,cal,615698,quanc001,quantca01,19312,2019.0,2023.0
265,chafin,andrew,605177,chafa001,chafian01,12988,2014.0,2023.0
266,garcía,yimi,554340,garcy001,garciyi01,12095,2014.0,2023.0
267,díaz,elías,553869,diaze005,diazel01,11680,2015.0,2023.0
268,lópez,pablo,641154,lopep002,lopezpa01,17085,2018.0,2023.0
269,flaherty,jack,656427,flahj002,flaheja01,17479,2017.0,2023.0
270,glasnow,tyler,607192,glast001,glasnty01,14374,2016.0,2023.0
271,pivetta,nick,601713,piven001,pivetni01,15454,2017.0,2023.0
272,barlow,scott,605130,barls001,barlosc01,14993,2018.0,2023.0
273,lowe,brandon,664040,loweb001,lowebr01,18882,2018.0,2023.0
274,smith,will,519293,smitw002,smithwi04,8048,2012.0,2023.0
275,bader,harrison,664056,badeh001,baderha01,18030,2017.0,2023.0
276,lauer,eric,641778,lauee001,lauerer01,19316,2018.0,2023.0
277,mccutchen,andrew,457705,mccua001,mccutan01,9847,2009.0,2023.0
278,maldonado,martín,455117,maldm001,maldoma01,6887,2011.0,2023.0
279,mchugh,collin,543521,mchuc001,mchugco01,7531,2012.0,2023.0
280,hedges,austin,595978,hedga001,hedgeau01,12976,2015.0,2023.0
281,lamet,dinelson,659275,lamed001,lametdi01,17186,2017.0,2023.0
282,candelario,jeimer,600869,candj002,candeje01,13621,2016.0,2023.0
283,johnson,pierce,572955,johnp001,johnspi01,13435,2017.0,2023.0
284,tucker,kyle,663656,tuckk001,tuckeky01,18345,2018.0,2023.0
285,harris,michael,671739,harrm004,harrimi04,25931,2022.0,2023.0
286,o'neill,tyler,641933,oneit001,oneilty01,15711,2018.0,2023.0
287,tellez,rowdy,642133,tellr001,tellero01,15679,2018.0,2023.0
288,gallegos,giovanny,606149,gallg001,gallegi01,14986,2017.0,2023.0
289,davies,zach,605200,daviz001,davieza02,13183,2015.0,2023.0
290,urías,luis,649966,urial001,uriaslu01,16622,2018.0,2023.0
291,choi,ji man,596847,choij001,choiji01,5452,2016.0,2023.0
292,webb,logan,657277,webbl001,webblo01,17995,2019.0,2023.0
293,romano,jordan,605447,romaj004,romanjo03,16122,2019.0,2023.0
294,taylor,michael,572191,taylm002,taylomi02,11489,2014.0,2023.0
295,piña,manny,444489,pinam001,pinama01,2829,2011.0,2023.0
296,peterson,jace,607054,petej002,peterja01,12325,2014.0,2023.0
297,raley,brooks,548384,raleb001,raleybr01,10061,2012.0,2023.0
298,meadows,austin,640457,meada001,meadoau01,15672,2018.0,2023.0
299,minter,a. j.,621345,minta001,minteaj01,18655,2017.0,2023.0
300,kelly,carson,608348,kellc002,kellyca02,13620,2016.0,2023.0
301,rojas,miguel,500743,rojam002,rojasmi02,7802,2014.0,2023.0
302,cronenworth,jake,630105,cronj001,croneja01,18036,2020.0,2023.0
303,davis,j. d.,605204,davij006,davisjd01,16219,2017.0,2023.0
304,cooper,garrett,643265,coopg002,coopega03,15279,2017.0,2023.0
305,edman,tommy,669242,edmat001,edmanto01,19470,2019.0,2023.0
306,arozarena,randy,668227,arozr001,arozara01,19290,2019.0,2023.0
307,trivino,lou,642152,trivl001,trivilo01,15043,2018.0,2022.0
308,sewald,paul,623149,sewap001,sewalpa01,13892,2017.0,2023.0
309,france,ty,664034,frant002,francty01,17982,2019.0,2023.0
310,mullins,cedric,656775,mullc002,mullice01,17929,2018.0,2023.0
311,lowe,nathaniel,663993,lowen001,lowena01,19566,2019.0,2023.0
312,longoria,evan,446334,longe001,longoev01,9368,2008.0,2023.0
313,miller,brad,543543,millb002,millebr02,12775,2013.0,2023.0
314,paxton,james,572020,paxtj001,paxtoja01,11828,2013.0,2023.0
315,fulmer,michael,605242,fulmm001,fulmemi01,13218,2016.0,2023.0
316,springs,jeffrey,605488,sprij001,sprinje01,17677,2018.0,2023.0
317,murphy,sean,669221,murps001,murphse01,19352,2019.0,2023.0
318,bichette,bo,666182,bichb001,bichebo01,19612,2019.0,2023.0
319,soto,gregory,642397,sotog003,sotogr01,19677,2019.0,2023.0
320,floro,dylan,571670,flord002,florody01,13394,2016.0,2023.0
321,garver,mitch,641598,garvm001,garvemi01,15161,2017.0,2023.0
322,chapman,aroldis,547973,chapa001,chapmar01,10233,2010.0,2023.0
323,garcia,luis,150193,garcl002,garcilu01,1004504,1999.0,1999.0
324,bummer,aaron,607481,bumma001,bummeaa01,16258,2017.0,2023.0
325,peralta,freddy,642547,peraf001,peralfr01,18679,2018.0,2023.0
326,kemp,tony,643393,kempt001,kempto01,14894,2016.0,2023.0
327,lopez,nicky,670032,lopen001,lopezni01,19339,2019.0,2023.0
328,fairbanks,pete,664126,fairp001,fairbpe01,17998,2019.0,2023.0
329,lópez,reynaldo,625643,loper003,lopezre01,16400,2016.0,2023.0
330,stanek,ryne,592773,stanr002,stanery01,15947,2017.0,2023.0
331,houser,adrian,605288,housa001,housead01,12718,2015.0,2023.0
332,laureano,ramón,657656,laurr001,laurera01,17128,2018.0,2023.0
333,lópez,jorge,605347,lopej004,lopezjo02,14527,2015.0,2023.0
334,miley,wade,489119,milew001,mileywa01,8779,2011.0,2023.0
335,diekman,jake,518617,diekj001,diekmja01,5003,2012.0,2023.0
336,barnes,austin,605131,barna001,barneau01,12158,2015.0,2023.0
337,castro,miguel,612434,castm002,castrmi01,15684,2015.0,2023.0
338,bleier,richard,542947,bleir001,bleieri01,7803,2016.0,2023.0
339,pagán,emilio,641941,pagae001,paganem01,14771,2017.0,2023.0
340,anderson,brian,605119,andeb006,anderbr06,18289,2017.0,2023.0
341,jansen,danny,643376,jansd001,janseda01,16535,2018.0,2023.0
342,alvarado,josé,621237,alvaj004,alvarjo03,17780,2017.0,2023.0
343,javier,cristian,664299,javic001,javiecr01,17606,2020.0,2023.0
344,peralta,wandy,593974,peraw002,peralwa01,14295,2016.0,2023.0
345,stallings,jacob,607732,stalj001,stallja01,13723,2016.0,2023.0
346,naylor,josh,647304,naylj001,naylojo01,18839,2019.0,2023.0
347,williams,devin,642207,willd004,willide03,15816,2019.0,2023.0
348,holmes,clay,605280,holmc001,holmecl01,13649,2018.0,2023.0
349,barnhart,tucker,571466,barnt001,barnhtu01,10200,2014.0,2023.0
350,gonsolin,tony,664062,gonst001,gonsoto01,19388,2019.0,2023.0
351,fujinami,shintaro,660261,fujis001,fujinsh01,31839,2023.0,2023.0
352,slater,austin,596103,slata001,slateau01,16153,2017.0,2023.0
353,cortés,néstor,641482,cortn001,cortene01,17874,2018.0,2023.0
354,hays,austin,669720,haysa001,haysau01,19363,2017.0,2023.0
355,grisham,trent,663757,grist001,grishtr01,18564,2019.0,2023.0
356,velasquez,vince,592826,velav001,velasvi01,11189,2015.0,2023.0
357,cimber,adam,643256,cimba001,cimbead01,15288,2018.0,2023.0
358,maeda,kenta,628317,maedk001,maedake01,18498,2016.0,2023.0
359,varsho,daulton,662139,varsd001,varshda01,19918,2020.0,2023.0
360,mondesí,adalberto,609275,mondr003,mondera02,13769,2016.0,2022.0
361,urquidy,josé,664353,urquj001,urquijo01,18413,2019.0,2023.0
362,andrus,elvis,462101,andre001,andruel01,8709,2009.0,2023.0
363,pillar,kevin,607680,pillk001,pillake01,12434,2013.0,2023.0
364,bass,anthony,542914,bassa001,bassan01,7982,2011.0,2023.0
365,givens,mychal,571710,givem001,givenmy01,10430,2015.0,2023.0
366,ureña,josé,570632,urenj001,urenajo01,11589,2015.0,2023.0
