Name,WAR,shortName,SimplePosition
Tim Locastro,0.0,NY Mets,"lf,cf,rf"
Max Stassi,0.0,LA Angels,c
Harold Castro,-0.5,Colorado,"1b,2b,3b,ss"
Brusdar Graterol,0.8,LA Dodgers,Reliever
Matt Strahm,0.3,Philadelphia,Starter
Joel Payamps,0.2,Milwaukee,Reliever
Hyun-Jin Ryu,0.1,Toronto,Starter
